id	category	app	one_line	auth	self_serve	api_surface	mcp	verdict	blocker	evidence
1	CRM and Sales	Salesforce	Enterprise CRM with sales, service, marketing, and platform objects.	OAuth2, JWT bearer, username-password OAuth flow	Self-serve trial, production often admin-approved	Broad REST, Bulk, Streaming, Metadata, GraphQL-style UI APIs	Community MCPs	Buildable	Enterprise org setup and scopes are the main work	https://developer.salesforce.com/docs/apis
2	CRM and Sales	HubSpot	CRM and marketing platform for contacts, companies, deals, tickets, and automation.	OAuth2, private app token	Self-serve developer account	Broad REST across CRM, marketing, conversations, automation	Community MCPs	Buildable	Scope design and app review for public apps	https://developers.hubspot.com/docs/api/overview
3	CRM and Sales	Pipedrive	Sales CRM focused on pipelines, deals, activities, and contacts.	OAuth2, API token	Self-serve trial	Broad REST for CRM resources and webhooks	No clear official MCP	Buildable	OAuth app setup and rate limits	https://developers.pipedrive.com/docs/api/v1
4	CRM and Sales	Attio	Modern CRM for people, companies, lists, records, and workflows.	OAuth2, API key	Self-serve workspace	Broad REST for objects, records, lists, comments, webhooks	Community MCPs	Buildable	Young API means coverage validation matters	https://docs.attio.com/rest-api/overview
5	CRM and Sales	Twenty	Open-source CRM with companies, people, opportunities, and tasks.	API key, bearer token	Self-serve/open-source	REST and GraphQL surface	Community MCPs	Buildable	Hosted versus self-hosted auth differences	https://twenty.com/developers
6	CRM and Sales	Podio	Collaboration CRM/work management app from Citrix.	OAuth2, app auth, API key/secret	Self-serve but legacy docs	Broad REST for orgs, apps, items, tasks	No clear MCP	Buildable	Legacy API patterns and app tokens	https://developers.podio.com/
7	CRM and Sales	Zoho CRM	CRM suite for leads, accounts, contacts, deals, and automation.	OAuth2	Self-serve developer console	Broad REST plus bulk, COQL, notifications	Community MCPs	Buildable	Regional domains and scope complexity	https://www.zoho.com/crm/developer/docs/api/v6/
8	CRM and Sales	Close	Inside-sales CRM for leads, contacts, calls, emails, and tasks.	API key	Self-serve trial	Broad REST for CRM, activities, calling, webhooks	No clear MCP	Buildable	Simple auth, broad API	https://developer.close.com/
9	CRM and Sales	Copper	Google Workspace-native CRM for leads, people, opportunities, and activities.	API key with user email header	Trial/admin likely required	Moderate REST API	No clear MCP	Buildable	Admin/account access and API limits	https://developer.copper.com/
10	CRM and Sales	DealCloud	Deal management CRM for investment and professional services teams.	OAuth2/client credentials, API keys	Gated/paid enterprise	Broad REST/OData-style enterprise API	No clear MCP	Buildable with customer	Requires customer tenant and paid access	https://api.docs.dealcloud.com/
11	Support and Helpdesk	Zendesk	Customer support suite for tickets, users, help center, chat, and voice.	OAuth2, API token, basic auth with token	Self-serve trial	Broad REST APIs and webhooks	Community MCPs	Buildable	Subdomain and admin-token setup	https://developer.zendesk.com/api-reference/
12	Support and Helpdesk	Intercom	Customer messaging, support inbox, articles, contacts, and conversations.	OAuth2, access token	Self-serve developer workspace	Broad REST API and webhooks	Community MCPs	Buildable	Public app review for marketplace distribution	https://developers.intercom.com/docs/references/rest-api/api.intercom.io
13	Support and Helpdesk	Freshdesk	Helpdesk for tickets, contacts, companies, agents, and solutions.	API key, OAuth2 for apps	Self-serve trial	Broad REST API	No clear official MCP	Buildable	Per-account domain and plan limits	https://developers.freshdesk.com/api/
14	Support and Helpdesk	Front	Shared inbox and customer operations platform.	OAuth2, API token	Self-serve developer account	Broad REST API for inboxes, messages, contacts, rules	No clear MCP	Buildable	OAuth app permissions and inbox semantics	https://dev.frontapp.com/reference/introduction
15	Support and Helpdesk	Pylon	B2B customer support platform for Slack/Teams, tickets, and accounts.	API key/bearer token	Trial/contact-sales leaning	Public REST API appears documented but narrower	No clear MCP	Buildable	Access may require workspace approval	https://docs.usepylon.com/
16	Support and Helpdesk	LiveAgent	Helpdesk with tickets, chats, calls, and knowledge base.	API key	Self-serve trial	REST API for tickets, contacts, agents, departments	No clear MCP	Buildable	Older docs and account-specific endpoint	https://support.liveagent.com/306237-API
17	Support and Helpdesk	Plain	B2B support platform with customers, issues, threads, and events.	API key	Self-serve developer docs	GraphQL API and webhooks	Community MCPs	Buildable	GraphQL schema mapping	https://www.plain.com/docs/api-reference/graphql
18	Support and Helpdesk	Help Scout	Helpdesk for mailboxes, conversations, customers, docs, and reports.	OAuth2, app credentials	Self-serve developer app	Broad REST APIs plus webhooks	No clear MCP	Buildable	OAuth token lifecycle	https://developer.helpscout.com/
19	Support and Helpdesk	Gorgias	Ecommerce helpdesk for tickets, customers, orders, and macros.	Basic/API key, OAuth2 for apps	Trial/admin likely required	REST API and webhooks	No clear MCP	Buildable	Merchant account and app access	https://developers.gorgias.com/reference/introduction
20	Support and Helpdesk	Gladly	Customer service platform for conversations, customers, tasks, and knowledge.	OAuth2/client credentials, API token	Gated/enterprise	Broad REST API but customer access needed	No clear MCP	Buildable with customer	Enterprise tenant and credentials required	https://developer.gladly.com/rest/
